209.897,229.568,273.946,334.21,410.549,504.533,619.956,763.182,940.548,1158.31,1422.03
77.2393,84.4801,100.796,123.075,151.042,185.733,228.78,281.054,345.364,424.192,522.717
28.4756,31.1487,37.145,45.3686,55.7452,68.4707,84.2572,103.87,127.279,156.932,192.892
10.6411,11.6402,13.8859,16.9497,20.8232,25.6072,31.4764,38.6241,47.599,58.3954,72.0322
4.36449,4.77447,5.69329,6.95281,8.52884,10.4904,12.9252,15.8608,19.5412,24.0713,29.5121
2.82843,3.0938,3.69139,4.50407,5.53437,6.79965,8.35343,10.308,12.6746,15.5532,19.1916
4.36449,4.77399,5.6947,6.9484,8.53463,10.4858,12.8999,15.8714,19.5381,24.0018,29.5451
10.6411,11.6393,13.8879,16.9501,20.8055,25.5934,31.4875,38.6469,47.6504,58.4303,71.8699
28.4756,31.1509,37.1591,45.327,55.6721,68.3872,84.2021,103.402,127.209,156.414,193.836
77.2393,84.4934,100.77,122.971,150.912,185.87,228.509,280.809,345.049,425.084,522.881
209.897,229.589,273.841,334.63,410.406,504.166,619.834,763.918,941.158,1157.15,1420.56
