3.99217,5.59026,8.22848,12.3544,18.6476,28.3626,42.275,66.546,103.199,154.502,240.572
3.07278,4.30917,6.34447,9.50843,14.3443,21.8489,33.5465,49.7102,78.861,121.913,169.619
2.43203,3.41609,5.02327,7.49503,11.3934,17.3515,26.6152,40.6055,61.2747,90.0338,136.658
2.0118,2.81316,4.1384,6.21916,9.44281,14.3938,21.4029,32.494,51.0368,74.7409,112.84
1.774,2.48274,3.65161,5.48238,8.35056,12.6969,19.3653,29.5112,45.9928,66.4619,104.424
1.69706,2.38084,3.50307,5.26966,7.97904,12.1612,18.8944,28.9664,43.9766,68.1309,95.0353
1.774,2.48896,3.64985,5.49546,8.41841,12.7826,19.427,29.8272,46.1372,65.8936,101.594
2.0118,2.8259,4.15486,6.19819,9.52753,14.3806,22.6046,33.7903,53.3984,79.9117,128.495
2.43203,3.4113,5.00911,7.47581,11.4088,17.5562,26.4364,40.4599,63.0966,96.994,153.64
3.07278,4.30587,6.33788,9.50672,14.4972,21.9881,33.5719,51.2403,78.1447,125.371,177.084
3.99217,5.58259,8.19969,12.3899,18.4917,28.6444,44.5243,65.198,102.109,152.809,240.353
